1: size: 1, key: 0
1: size: 2, key: 1
2: size: 1, key: 0
1: size: 3, key: 2
2: size: 2, key: 1
4: size: 1, key: 0
1: size: 4, key: 3
2: size: 3, key: 2
4: size: 2, key: 1
8: size: 1, key: 0
1: size: 5, key: 4
2: size: 4, key: 3
4: size: 3, key: 2
8: size: 2, key: 1
16: size: 1, key: 0
1: size: 6, key: 5
2: size: 5, key: 4
4: size: 4, key: 3
8: size: 3, key: 2
16: size: 2, key: 1
32: size: 1, key: 0
1: size: 7, key: 6
2: size: 6, key: 5
4: size: 5, key: 4
8: size: 4, key: 3
16: size: 3, key: 2
32: size: 2, key: 1
64: size: 1, key: 0
1: size: 8, key: 7
2: size: 7, key: 6
4: size: 6, key: 5
8: size: 5, key: 4
16: size: 4, key: 3
32: size: 3, key: 2
64: size: 2, key: 1
128: size: 1, key: 0
1: size: 9, key: 8
2: size: 8, key: 7
4: size: 7, key: 6
8: size: 6, key: 5
16: size: 5, key: 4
32: size: 4, key: 3
64: size: 3, key: 2
128: size: 2, key: 1
256: size: 1, key: 0
1: size: 10, key: 9
2: size: 9, key: 8
4: size: 8, key: 7
8: size: 7, key: 6
16: size: 6, key: 5
32: size: 5, key: 4
64: size: 4, key: 3
128: size: 3, key: 2
256: size: 2, key: 1
512: size: 1, key: 0
1: size: 10, key: 9
2: size: 9, key: 8
4: size: 8, key: 7
8: size: 7, key: 6
16: size: 6, key: 5
32: size: 5, key: 4
64: size: 4, key: 3
128: size: 3, key: 2
256: size: 2, key: 1
512: size: 1, key: 0
1: size: 10, key: 0
3: size: 9, key: 9
6: size: 8, key: 7
12: size: 6, key: 5
24: size: 4, key: 3
48: size: 2, key: 1
97: size: 1, key: 2
49: size: 1, key: 4
25: size: 1, key: 6
13: size: 1, key: 8
1: size: 10, key: 1
2: size: 1, key: 0
3: size: 8, key: 7
6: size: 5, key: 3
12: size: 1, key: 2
13: size: 3, key: 5
26: size: 1, key: 4
27: size: 1, key: 6
7: size: 2, key: 9
14: size: 1, key: 8
1: size: 10, key: 2
2: size: 2, key: 1
4: size: 1, key: 0
3: size: 7, key: 3
7: size: 6, key: 7
14: size: 3, key: 5
28: size: 1, key: 4
29: size: 1, key: 6
15: size: 2, key: 9
30: size: 1, key: 8
1: size: 10, key: 3
2: size: 3, key: 2
4: size: 2, key: 1
8: size: 1, key: 0
3: size: 6, key: 7
6: size: 3, key: 5
12: size: 1, key: 4
13: size: 1, key: 6
7: size: 2, key: 9
14: size: 1, key: 8
1: size: 10, key: 4
2: size: 4, key: 3
4: size: 3, key: 2
8: size: 2, key: 1
16: size: 1, key: 0
3: size: 5, key: 5
7: size: 4, key: 7
14: size: 1, key: 6
15: size: 2, key: 9
30: size: 1, key: 8
1: size: 10, key: 5
2: size: 5, key: 4
4: size: 4, key: 3
8: size: 3, key: 2
16: size: 2, key: 1
32: size: 1, key: 0
3: size: 4, key: 7
6: size: 1, key: 6
7: size: 2, key: 9
14: size: 1, key: 8
1: size: 10, key: 6
2: size: 6, key: 5
4: size: 5, key: 4
8: size: 4, key: 3
16: size: 3, key: 2
32: size: 2, key: 1
64: size: 1, key: 0
3: size: 3, key: 7
7: size: 2, key: 9
14: size: 1, key: 8
1: size: 10, key: 7
2: size: 7, key: 6
4: size: 6, key: 5
8: size: 5, key: 4
16: size: 4, key: 3
32: size: 3, key: 2
64: size: 2, key: 1
128: size: 1, key: 0
3: size: 2, key: 9
6: size: 1, key: 8
1: size: 10, key: 8
2: size: 8, key: 7
4: size: 7, key: 6
8: size: 6, key: 5
16: size: 5, key: 4
32: size: 4, key: 3
64: size: 3, key: 2
128: size: 2, key: 1
256: size: 1, key: 0
3: size: 1, key: 9
